DateTime,AddedIPs,RemovedIPs
1586921581,6,0
1586922121,8,0
1586922482,74,119
1586923321,27,1
1586924521,4,0
1586926322,99,79
1586926971,6,0
1586928122,12,0
1586929321,2,0
1586930162,75,69
1586930521,7,0
1586931121,8,0
1586931721,2,0
1586932382,2,0
1586932921,3,0
1586933521,4,0
1586934121,10,0
1586934721,4,1
1586935922,42,1817
1586937121,23,0
1586938082,1835,0
1586938485,24,0
1586939582,16,0
1586940002,96,65
1586940121,4,0
1586940722,3,0
1586941720,1591,263
1586941922,83,52
1586943121,26,0
1586943722,2,0
1586944321,5,0
1586944922,13,0
1586946121,16,0
1586946721,1,0
1586947681,73,54
1586947921,9,0
1586948521,3,1
1586949121,4,0
1586950321,4,0
1586950921,9,0
1586951522,77,63
1586952121,5,0
1586953322,16,0
1586953921,1,0
1586954521,1,0
1586955122,3,0
1586955362,73,62
1586956921,3,0
1586957581,23,0
1586958122,4,0
1586958721,1,0
1586959203,90,90
1586959321,10,0
1586959922,18,0
1586961236,67,659
1586961721,7,0
1586961779,2,0
1586963043,5,580
1586963521,3,0
1586964121,5,0
1586964962,1258,41
1586968802,78,66
1586971321,66,0
1586972645,82,73
1586976723,82,76
1586978521,45,0
1586980562,93,90
1586981191,11,0
1586981521,21,0
1586983921,37,0
1586984403,71,95
1586984522,101,0
1586985722,11,0
1586986322,54,650
1586986921,40,0
1586988242,581,1
1586989321,14,0
1586990161,63,90
1586990521,39,0
1586991721,14,0
1586992921,21,0
1586994002,61,97
1586994121,5,0
1586995321,1,0
1586996521,8,0
1586997182,1,0
1586997842,48,96
1586998921,27,0
1587000121,23,0
1587000781,1,0
1587001321,9,0
1587001682,66,74
1587001922,15,0
1587003603,61,73
1587003722,19,1
1587004922,10,0
1587006121,45,1
1587007321,26,0
1587008521,10,0
1587009362,62,75
1587009721,12,0
1587010321,13,0
1587010921,29,0
1587012173,2,0
1587012721,20,0
1587013205,65,78
1587013321,1,0
1587013921,13,0
1587015122,62,59
1587015182,20,1
1587016321,52,0
1587016922,37,0
1587017522,2,0
1587018962,65,47
1587019321,13,0
1587020883,73,65
1587021121,1,0
1587021721,6,0
1587022802,131,81
1587022922,2,0
1587023973,17,0
1587024721,5,0
1587025322,1,0
1587025982,2,0
1587026643,104,50
1587027121,1,0
1587027835,2,0
1587028322,1,0
1587028921,57,0
1587029522,3,0
1587030121,4,0
1587030481,83,64
1587031322,14,0
1587031921,10,0
1587032521,6,0
1587033182,2,1
1587034322,67,56
1587034921,47,0
1587035521,2,0
1587036721,20,0
1587036782,4,0
1587038162,81,46
1587038521,37,0
1587039749,37,0
1587040381,1,0
1587040921,17,0
1587041521,1,0
1587042004,54,64
1587042121,7,0
1587042721,24,0
1587043922,69,709
1587043981,3,0
1587044521,18,0
1587045121,1,1
1587046082,673,0
1587046321,91,0
1587047581,8,0
1587048002,72,58
1587048122,3,0
1587048721,37,0
1587049321,27,1
1587051182,6,0
1587051721,1,0
1587052082,84,73
1587052922,29,0
1587053521,17,0
1587054002,88,73
1587054121,6,0
1587054722,1,0
1587054781,1,0
1587055322,13,0
1587055922,2,0
1587056521,36,0
1587057721,14,0
1587058922,5,0
1587059521,10,0
1587059761,81,66
1587060121,35,0
1587061322,7,0
1587061921,7,0
1587061982,1,0
1587062521,1,0
1587063122,11,0
1587063604,66,81
1587064321,2,0
1587064921,70,0
1587065521,139,118
1587066121,27,0
1587066722,6,0
1587067442,85,76
1587068521,23,0
1587069182,13,0
1587069721,4,1
1587070322,2,0
1587071283,56,85
1587071521,4,0
1587072121,26,0
1587073202,75,86
1587073321,5,0
1587073921,53,0
1587074522,41,1
1587075121,11,0
1587075721,18,0
1587077042,75,106
1587077521,2,0
1587078121,39,0
1587079322,24,0
1587079921,2,1
1587080521,8,0
1587080883,80,97
1587081721,8,0
1587082321,2,0
1587083522,31,0
1587083581,1,0
1587084121,10,0
1587084722,47,95
1587085322,4,0
1587085922,1,0
1587086522,2,0
1587087121,8,0
1587087721,2,0
1587088562,64,58
1587089522,72,0
1587090122,13,0
1587091322,13,0
1587092405,68,78
1587092521,2,0
1587093722,12,0
1587094322,56,761
1587094922,9,1
1587096242,696,0
1587097322,3,0
1587098161,54,63
1587098521,6,0
1587099121,43,0
1587099721,23,0
1587100921,4,0
1587102002,69,64
1587102121,21,0
1587103321,1,0
1587104521,1,0
1587105181,38,0
1587105841,69,55
1587106921,19,0
1587108121,8,0
1587109322,50,0
1587109682,85,51
1587110521,5,0
1587111721,38,0
1587112921,32,0
1587113522,88,52
1587114121,14,0
1587114722,3,0
1587115442,101,53
1587116197,3483,439
1587116521,14,0
1587117121,19,0
1587117721,11,0
1587118922,16,0
1587119521,1,0
1587119581,3,0
1587120121,1,0
1587120722,1,0
1587121202,71,50
1587121322,7,0
1587121921,9,0
1587122522,1,0
1587123121,63,62
1587123182,2,0
1587123722,3,0
1587125042,75,58
1587125521,4,0
1587126121,3,0
1587127321,9,0
1587127921,14,0
1587128521,20,0
1587129721,8,0
1587130321,17,0
1587130802,82,48
1587130922,57,0
1587131521,2,0
1587132121,24,1
1587132722,80,66
1587133322,13,0
1587134521,36,0
1587135121,30,0
1587135721,9,0
1587136322,8,0
1587136921,10,0
1587137521,24,0
1587138121,5,0
1587138482,85,68
1587138721,12,0
1587139321,23,0
1587139921,7,0
1587141181,29,0
1587141721,54,0
1587142322,94,71
1587142922,25,1
1587143521,7,0
1587144122,13,0
1587144721,9,0
1587145321,28,0
1587145921,43,0
1587146161,90,74
1587146521,5,0
1587147721,4,0
1587148921,17,0
1587149522,1,0
1587150002,88,70
1587150121,19,0
1587151321,13,0
