DateTime,AddedIPs,RemovedIPs
1586546182,3,8
1586549790,4,4
1586553383,4,3
1586556983,5,3
1586560593,5,2
1586564174,259,258
1586567773,6,3
1586571391,5,4
1586574979,5,1
1586578581,2,6
1586582195,2,3
1586585795,2,14
1586589403,4,14
1586593000,8,2
1586596562,7,4
1586600187,7,4
1586603793,8,1
1586607409,3,8
1586609403,1280,9984
1586611025,4,4
1586613931,768,512
1586614597,8,5
1586618191,10,3
1586621782,2,5
1586623511,256,512
1586625403,2,6
1586628977,6,3
1586632563,3,6
1586636173,8,3
1586639774,2,7
1586643381,3,5
1586646981,0,6
1586650546,5,8
1586654181,7,5
1586657802,9,5
1586661527,7,1
1586664989,6,6
1586668576,6,2
1586672201,1,3
1586675936,7,5
1586679391,4,4
1586685003,3,2
1586686587,3,2
1586690176,2,2
1586693808,3,3
1586695803,2048,0
1586697366,6,7
1586701001,6,2
1586702702,2048,2048
1586704580,4,9
1586708185,5,6
1586711783,4,9
1586715377,5,5
1586718968,5,6
1586722587,7,1
1586726179,1,2
1586727010,512,512
1586729819,4,6
1586733372,3,2
1586734210,512,512
1586736979,4,6
1586740591,7,6
1586744209,3,5
1586747803,4,9
1586751407,12,3
1586755024,4,7
1586758588,4,2
1586762186,3,4
1586765800,2,6
1586769399,3,4
1586772994,5,3
1586776610,3,4
1586780191,6,2
1586781010,1024,768
1586782203,768,0
1586783765,6,3
1586785202,256,256
1586787448,3,3
1586790009,256,256
1586791017,5,6
1586794605,6,4
1586795557,512,768
1586798187,7,7
1586801772,2,2
1586803510,512,256
1586805370,2,5
1586808910,256,256
1586809017,3,3
1586812510,512,768
1586812594,4,9
1586816200,2,6
1586817902,1024,433152
1586819772,5,10
1586820610,256,0
1586823354,16,2
1586827011,9,2
1586830631,3,3
1586834248,4,2
1586837818,3,9
1586841411,4,4
1586845052,4,11
1586848633,10,5
1586852217,4,12
1586855834,5,5
1586859436,11,5
1586863043,3,10
1586866630,12,2
1586868603,0,1536
1586870244,3,3
1586873834,2,5
1586877441,3,2
1586878345,1792,2048
1586880997,4,9
1586884613,8,6
1586886311,256,256
1586888174,3,5
1586889912,512,256
1586891783,6,3
1586895401,6,5
1586898979,4,8
1586902538,9,4
1586906220,7,6
1586909702,512,512
1586955003,748288,15360
1586956511,1536,1536
1586963102,512,512
1586970912,256,512
1586974511,256,256
1586979911,256,256
1586988310,512,512
1586995803,512,512
1587032103,0,35840
1587041403,4096,16128
1587042911,2560,2304
1587047515,768,768
1587054794,512,512
1587060910,512,512
1587077110,33024,256
1587126314,0,768
1587127803,0,13056
1587136512,1792,1792
1587148502,0,512
1587155411,256,256
1587161270,512,512
1587168019,512,512
1587217802,6144,11520
1587220540,1280,1280
1587233711,256,256
1587237303,256,256
1587248102,256,256
1587255311,256,256
1587258911,256,256
